effective_from,product,price_pkr_per_litre,change
2006-01-01,hsd,62.65,
2006-01-01,jp1,45.82,
2006-01-01,ldo,54.94,
2006-01-01,petrol,62.13,
2006-01-01,sko,59.35,
2006-01-09,hsd,65.0,2.35
2006-01-09,jp1,12.0,-33.82
2006-01-09,ldo,56.0,1.06
2006-01-09,petrol,55.0,-7.13
2006-01-09,sko,33.0,-26.35
2006-05-01,hsd,37.29,-27.71
2006-05-01,petrol,55.55,0.55
2006-05-15,hsd,65.0,27.71
2006-05-15,jp1,12.0,
2006-05-15,ldo,56.0,
2006-05-15,petrol,55.0,-0.55
2006-05-15,sko,33.0,
2006-05-16,hsd,37.29,-27.71
2006-05-16,petrol,55.55,0.55
2006-06-01,hsd,37.29,0.0
2006-06-01,petrol,55.55,0.0
2006-06-16,hsd,37.29,0.0
2006-06-16,petrol,55.55,0.0
2006-07-16,hsd,37.73,0.44
2006-07-16,jp1,38.67,
2006-07-16,ldo,32.57,
2006-07-16,petrol,53.7,-1.85
2006-07-16,sko,35.23,
2006-08-16,hsd,37.29,-0.44
2006-08-16,petrol,55.55,1.85
2006-09-16,hsd,37.29,0.0
2006-09-16,jp1,38.4,
2006-09-16,petrol,55.55,0.0
2006-10-16,hsd,37.29,0.0
2006-10-16,jp1,38.4,0.0
2006-10-16,petrol,55.55,0.0
2006-11-16,hsd,37.29,0.0
2006-11-16,petrol,55.55,0.0
2006-12-01,hsd,37.29,0.0
2006-12-01,petrol,55.55,0.0
2007-01-16,hsd,36.33,-0.96
2007-01-16,petrol,51.7,-3.85
2007-04-01,hsd,36.33,0.0
2007-04-01,petrol,51.7,0.0
2007-04-16,hsd,36.33,0.0
2007-04-16,jp1,35.86,
2007-04-16,ldo,32.57,
2007-04-16,petrol,51.7,0.0
2007-04-16,sko,35.23,
2007-05-01,hsd,36.33,0.0
2007-05-01,jp1,36.48,0.62
2007-05-01,ldo,32.57,0.0
2007-05-01,petrol,51.7,0.0
2007-05-01,sko,35.23,0.0
2007-05-16,hsd,36.33,0.0
2007-05-16,jp1,36.58,0.1
2007-05-16,ldo,32.57,0.0
2007-05-16,petrol,51.7,0.0
2007-05-16,sko,35.23,0.0
2007-06-01,hsd,36.33,0.0
2007-06-01,jp1,37.03,0.45
2007-06-01,ldo,32.57,0.0
2007-06-01,petrol,51.7,0.0
2007-06-01,sko,35.23,0.0
2007-06-16,hsd,36.33,0.0
2007-06-16,jp1,36.9,-0.13
2007-06-16,ldo,32.57,0.0
2007-06-16,petrol,51.7,0.0
2007-06-16,sko,35.23,0.0
2007-07-01,hsd,36.33,0.0
2007-07-01,jp1,36.9,0.0
2007-07-01,ldo,32.57,0.0
2007-07-01,petrol,51.7,0.0
2007-07-01,sko,35.23,0.0
2007-07-16,hsd,37.73,1.4
2007-07-16,jp1,38.67,1.77
2007-07-16,ldo,32.57,0.0
2007-07-16,petrol,53.7,2.0
2007-07-16,sko,35.23,0.0
2007-08-01,hsd,37.73,0.0
2007-08-01,jp1,39.34,0.67
2007-08-01,ldo,32.57,0.0
2007-08-01,petrol,53.7,0.0
2007-08-01,sko,35.23,0.0
2007-08-25,hsd,37.73,0.0
2007-08-25,ldo,32.57,0.0
2007-08-25,petrol,53.7,0.0
2007-08-25,sko,35.23,0.0
2007-09-01,hsd,37.73,0.0
2007-09-01,jp1,37.38,
2007-09-01,ldo,32.57,0.0
2007-09-01,petrol,53.7,0.0
2007-09-01,sko,35.23,0.0
2007-09-16,hsd,37.73,0.0
2007-09-16,jp1,39.19,1.81
2007-09-16,ldo,32.57,0.0
2007-09-16,petrol,53.7,0.0
2007-09-16,sko,35.23,0.0
2007-10-01,hsd,37.73,0.0
